run,model_name,voxel_size,fold_id,epoch,train_loss,test_loss,aucroc,aps,accuracy,precision,recall,f1
vs_2_linear,linear,2,1,5,0.6015720143211742,0.627686515333514,0.731154442961468,0.6821917366823398,0.6717112922002328,0.6219512195121951,0.9230769230769231,0.7431693989071039
vs_2_linear,linear,2,1,6,0.5886342792231246,0.6257285828845797,0.7291442863808499,0.6857215447505227,0.6752037252619325,0.6248085758039816,0.9230769230769231,0.7452054794520548
vs_2_linear,linear,2,1,7,0.5829817120826187,0.6223122770477706,0.7330126848747246,0.6916962284365388,0.6786961583236322,0.6276923076923077,0.9230769230769231,0.7472527472527473
vs_2_linear,linear,2,1,8,0.5747058496816477,0.626272884704954,0.7288350315222935,0.6820154633190568,0.6693830034924331,0.6193353474320241,0.9276018099547512,0.7427536231884058
vs_2_linear,linear,2,1,9,0.566665150600138,0.625188886170883,0.7268872684657705,0.6819317648988437,0.670547147846333,0.6206373292867982,0.9253393665158371,0.742960944595822
vs_2_linear,linear,2,1,10,0.5590326255994937,0.6224415791429304,0.7266051412263854,0.6845973998432126,0.6740395809080326,0.6234756097560976,0.9253393665158371,0.7449908925318761
vs_2_linear,linear,2,2,1,0.6617823000862907,0.6671102898428216,0.6743049844663742,0.6584553033105914,0.6300675675675675,0.6070528967254408,0.7927631578947368,0.6875891583452212
vs_2_linear,linear,2,2,2,0.6330574234912543,0.6510966755799018,0.685446934393275,0.660726349503679,0.6334459459459459,0.5993150684931506,0.8634868421052632,0.7075471698113207
vs_2_linear,linear,2,2,3,0.6190014554257222,0.6515226975432598,0.6980651498538011,0.6754781675672623,0.637668918918919,0.6046783625730994,0.850328947368421,0.706766917293233
vs_2_linear,linear,2,2,4,0.6061566278716073,0.6492326446110382,0.6929224917763159,0.6747961202085453,0.6385135135135135,0.6039260969976905,0.8601973684210527,0.7096336499321574
vs_2_linear,linear,2,2,5,0.5953976846963538,0.648842277773656,0.6935564007675439,0.6734423888217786,0.6418918918918919,0.6047835990888383,0.8733552631578947,0.7146702557200538
vs_2_linear,linear,2,2,6,0.5855682095028157,0.6526482647808735,0.6888920298793859,0.6760159638816692,0.6368243243243243,0.6034883720930233,0.8536184210526315,0.7070844686648501
vs_2_linear,linear,2,2,7,0.5768322877512536,0.658750525052892,0.6917232044956141,0.6811423440674125,0.6317567567567568,0.6023809523809524,0.8322368421052632,0.6988950276243094
vs_2_linear,linear,2,2,8,0.5691758047520066,0.665344154991908,0.6857681720577484,0.6791926785278039,0.6317567567567568,0.6036144578313253,0.8240131578947368,0.6968011126564673
vs_2_linear,linear,2,3,1,0.6636641990659674,0.6541015585401301,0.6818405044040301,0.6532401589329111,0.6244725738396625,0.6082251082251082,0.7656675749318801,0.6779252110977081
vs_2_linear,linear,2,3,2,0.6333871189213107,0.6536927767501851,0.6827672517584438,0.6523883319009154,0.6258790436005626,0.6086021505376344,0.771117166212534,0.6802884615384616
vs_2_linear,linear,2,3,3,0.6185872527724037,0.6478919473303452,0.688604967999493,0.6567752325289801,0.6258790436005626,0.605427974947808,0.7901907356948229,0.6855791962174941
